,Brand,Model,Processor,RAM,OS,Disk,Dim,Category
147,Lenovo,Ideapad,Intel Core i7 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,512 GB SSD,33.78 cm (13.3 inch) ,Laptop
148,Apple,MacBook Pro,Intel Core i5 Processor (8th Gen),8 GB DDR3 ,Mac,128 GB SSD,33.78 cm (13.3 inch) ,Laptop
149,Asus,ZenBook,Intel Core i7 Processor (9th Gen),32 GB DDR4 ,64 bit Windows 10,1 TB SSD,39.62 cm (15.6 inch) Touchscreen ,Laptop
150,MSI, Modern,Intel Core i7 Processor (9th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD|128 GB SSD,43.94 cm (17.3 inch) ,Laptop
151,Asus,ZenBook,Intel Core i5 Processor (8th Gen),8 GB DDR3 ,64 bit Windows 10,256 GB SSD,33.78 cm (13.3 inch) ,Laptop
152,Lenovo,Ideapad,Intel Core i5 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,512 GB SSD,35.56 cm (14 inch) ,Laptop
153,Asus,ZenBook,Intel Core i7 Processor (8th Gen),16 GB DDR4 ,64 bit Windows 10,1 TB SSD,35.56 cm (14 inch) ,Laptop
154,Dell,Inspiron,Intel Core i7 Processor (9th Gen),8 GB DDR4 ,64 bit Windows 10,512 GB SSD,39.62 cm (15.6 inch) ,Laptop
155,Asus,ROG,Intel Core i7 Processor (9th Gen),16 GB DDR4 ,64 bit Windows 10,1 TB SSD,39.62 cm (15.6 inch) ,Laptop
156,Acer, Predator,Intel Core i5 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD|128 GB SSD,39.62 cm (15.6 inch) ,Laptop
157,Acer,Aspire,Intel Celeron Dual Core Processor,2 GB DDR3 ,Linux/Ubuntu,500 GB HDD,39.62 cm (15.6 inch) ,Laptop
158,HP, Notebook,Intel Celeron Dual Core Processor,4 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
159,Apple,MacBook Pro,Intel Core i9 Processor (8th Gen),16 GB DDR3 ,Mac,512 GB SSD,39.12 cm (15.4 inch) ,Laptop
160,Lenovo,Legion,Intel Core i5 Processor (9th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB SSD,38.1 cm (15 inch) ,Laptop
161,Dell,XPS,Intel Core i9 Processor (9th Gen),32 GB DDR4 ,64 bit Windows 10,1 TB SSD,39.62 cm (15.6 inch) ,Laptop
162,Apple,MacBook Pro,Intel Core i5 Processor (8th Gen),8 GB DDR3 ,Mac,256 GB SSD,33.78 cm (13.3 inch) ,Laptop
163,Apple, MacBook Pro,Intel Core m3 Processor (7th Gen),8 GB DDR3 ,64 bit Mac,256 GB SSD,30.48 cm (12 inch) ,Laptop
